name;email;phone;address;city;zipcode;customer_since;total_sales;is_preferred_customer;date_end;is_partner
Jan Vos;jan.vos@example.com;0659518769;Kerkstraat 42;Rotterdam;3011AA;2017-02-08;;ONWAAR;;
Klaas de Vries;klaas.de.vries@example.com;0641686216;Dorpsstraat 143;Tilburg;5011AA;2016-07-03;4565.1;ONWAAR;;
Tom Meijer;tom.meijer@example.com;0619461367;Dorpsstraat 34;Amsterdam;1012AB;2019-03-26;3257.9;WAAR;2024-11-10;
;;;;;;;;;;
Lisa Visser;lisa.visser@example.com;0627684239;Hoofdstraat 160;Eindhoven;5611AA;2015-08-12;1735.82;ONWAAR;;
Daan Mulder;daan.mulder@example.com;0641333068;Hoofdstraat 169;Tilburg;5011AA;2017-06-27;2566.68;ONWAAR;2024-04-20;
Sanne Bakker;sanne.bakker@example.com;0618600903;Dorpsstraat 92;Groningen;9711AA;2018-04-22;1655.69;WAAR;;
Jan Jansen;jan.jansen@example.com;0664934745;Dorpsstraat 136;Eindhoven;5611AA;2023-12-28;4970.71;ONWAAR;;
Daan Visser;daan.visser@example.com;0667511491;Kerkstraat 32;Rotterdam;3011AA;2022-01-24;1158.34;WAAR;;
Daan Peters;daan.peters@example.com;0631417436;Dorpsstraat 136;Tilburg;5011AA;2022-09-23;1284.84;WAAR;2024-01-21;
Daan Jansen;daan.jansen@example.com;0683686480;Hoofdstraat 169;Tilburg;5011AA;2018-06-13;1258.21;ONWAAR;2023-12-06;
Daan Jansen;daan.jansen@example.com;0643134992;Kerkstraat 195;Tilburg;5011AA;2017-05-18;713.94;WAAR;2024-12-24;
Tom Visser;tom.visser@example.com;0641765286;Kerkstraat 169;Tilburg;5011AA;2021-11-20;2185.21;ONWAAR;;
Jan Mulder;jan.mulder@example.com;0662600102;Dorpsstraat 190;Groningen;9711AA;2015-04-12;2271.28;ONWAAR;2025-02-21;
Noah Bakker;noah.bakker@example.com;0651471745;Dorpsstraat 47;Tilburg;5011AA;2023-10-30;1531.88;WAAR;;
Sanne Vos;sanne.vos@example.com;0669989156;Hoofdstraat 101;Groningen;9711AA;2016-08-27;4522.91;WAAR;2024-09-17;
Sanne Jansen;sanne.jansen@example.com;0653172874;Dorpsstraat 123;Tilburg;5011AA;2017-07-13;2177.56;;2026-04-26;
Klaas Vos;klaas.vos@example.com;0665721893;Kerkstraat 11;Tilburg;5011AA;2024-08-14;1617.24;ONWAAR;2024-05-11;
Emma Smit;emma.smit@example.com;0677943633;Dorpsstraat 104;Eindhoven;5611AA;2022-10-18;1105.92;ONWAAR;;
Jan Meijer;jan.meijer@example.com;0688180250;Kerkstraat 127;Utrecht;3511AA;2020-09-26;2095.65;ONWAAR;;
Mila Vos;mila.vos@example.com;0682976768;Hoofdstraat 77;;5611AA;2020-09-23;0;WAAR;2026-04-08;
Daan Mulder;daan.mulder@example.com;0652944286;Dorpsstraat 138;Utrecht;3511AA;2017-02-10;4405.52;WAAR;;
Piet Vos;piet.vos@example.com;0620312476;Hoofdstraat 58;Groningen;9711AA;2023-05-26;3390.57;WAAR;;
Klaas Mulder;klaas.mulder@example.com;0659580473;Dorpsstraat 24;Utrecht;9999ZZ;2020-10-12;2473.18;ONWAAR;2024-08-29;
Tom Bos;tom.bos@example.com;0659737509;Dorpsstraat 52;Utrecht;3511AA;2024-07-17;2768.17;WAAR;2026-11-11;
Jan Jansen;jan.jansen@example.com;0636267127;Kerkstraat 17;Utrecht;3511AA;2020-01-19;452.73;ONWAAR;;
Emma Jansen;emma.jansen@example.com;0643722490;Kerkstraat 18;Rotterdam;3011AA;2020-07-06;1508.16;ONWAAR;2024-09-19;
Piet Mulder;piet.mulder@example.com;0667923973;Kerkstraat 152;Rotterdam;3011AA;2020-11-04;3842.25;ONWAAR;;
Mila Bos;mila.bos@example.com;0610873713;Kerkstraat 2;Groningen;9711AA;2015-05-27;1729.7;ONWAAR;;
Mila Visser;mila.visser@example.com;0631190885;Dorpsstraat 167;Amsterdam;1012AB;2015-11-01;2255.93;ONWAAR;;
Emma Bos;emma.bos@example.com;0644725964;Kerkstraat 85;Groningen;9711AA;2017-04-12;2947.27;ONWAAR;2024-05-13;
Tom Mulder;tom.mulder@example.com;0620680291;Hoofdstraat 21;Rotterdam;3011AA;2020-12-16;2507.65;ONWAAR;;
Klaas Meijer;klaas.meijer@example.com;0634961926;Kerkstraat 72;Eindhoven;9999ZZ;2016-03-16;4358.8;WAAR;;
Piet Meijer;piet.meijer@example.com;0663555190;Kerkstraat 10;Rotterdam;3011AA;2022-07-06;4532.26;WAAR;2023-01-31;
Mila Vos;mila.vos@example.com;0610425211;Kerkstraat 11;Amsterdam;1012AB;2016-12-11;3407.55;ONWAAR;;
Lisa de Vries;lisa.de.vries@example.com;0624629591;Kerkstraat 33;Rotterdam;3011AA;2017-08-17;2057.82;WAAR;2024-03-23;
Sanne Smit;noatsymbol.com;0620626598;Dorpsstraat 167;Tilburg;5011AA;2018-11-27;3081.98;ONWAAR;2025-11-11;
Sanne Jansen;sanne.jansen@example.com;0636961891;Dorpsstraat 9;Tilburg;5011AA;2023-06-04;3283.63;WAAR;;
Daan Jansen;daan.jansen@example.com;0662393476;Kerkstraat 140;Utrecht;3511AA;2021-05-18;3950.49;ONWAAR;2023-08-26;
Tom Meijer;tom.meijer@example.com;0655413905;Hoofdstraat 140;Amsterdam;1012AB;2015-02-14;;WAAR;;
Tom Visser;tom.visser@example.com;0613417427;Hoofdstraat 174;Tilburg;5011AA;2015-12-10;999999.99;ONWAAR;;
Daan Vos;daan.vos@example.com;0692548807;Kerkstraat 78;Utrecht;3511AA;2019-06-20;372.13;ONWAAR;;
Tom Meijer;tom.meijer@example.com;0613962731;Dorpsstraat 16;Utrecht;3511AA;2024-08-07;2965.35;ONWAAR;;
Piet Bakker;invalid-email;0651134525;Dorpsstraat 53;Amsterdam;1012AB;2023-08-12;4135.86;ONWAAR;2025-04-12;
Emma Vos;emma.vos@example.com;0692635260;Kerkstraat 9;Amsterdam;1012AB;2022-04-03;4873.14;ONWAAR;2026-04-01;
Emma Bakker;emma.bakker@example.com;0615097014;Dorpsstraat 185;Tilburg;5011AA;2018-06-25;4323.78;ONWAAR;;
Lisa Bakker;lisa.bakker@example.com;0621406884;Dorpsstraat 47;Tilburg;5011AA;2016-01-08;3204.16;WAAR;;
Klaas Bakker;klaas.bakker@example.com;0684198288;Hoofdstraat 156;Eindhoven;5611AA;2021-05-29;1694.26;ONWAAR;;
Klaas Jansen;klaas.jansen@example.com;0693436408;Hoofdstraat 61;Tilburg;5011AA;2024-05-18;4211.96;WAAR;;
Klaas Mulder;klaas.mulder@example.com;0690199086;Kerkstraat 103;Tilburg;5011AA;2022-09-08;1748.32;ONWAAR;;
Daan Visser;daan.visser@example.com;0652900088;Dorpsstraat 7;Rotterdam;3011AA;2020-08-15;3304.69;;;
Tom Peters;tom.peters@example.com;0661679624;Dorpsstraat 105;Groningen;9711AA;;4853;WAAR;;
Piet Smit;piet.smit@example.com;0686654038;Kerkstraat 88;Tilburg;5011AA;2018-07-26;1270.43;WAAR;;
Mila Smit;mila.smit@example.com;0618359083;Dorpsstraat 20;Amsterdam;1012AB;2018-03-15;1190.59;ONWAAR;;
Piet Vos;piet.vos@example.com;0652185392;Kerkstraat 34;Rotterdam;3011AA;2019-08-28;4647.09;WAAR;;
Noah Bakker;noah.bakker@example.com;0679921660;Kerkstraat 115;Groningen;9711AA;2023-04-01;1315.59;WAAR;2026-06-06;
;tom.vos@example.com;0628809444;Kerkstraat 121;Utrecht;;2015-09-25;1120.16;WAAR;2024-11-16;
Daan Peters;daan.peters@example.com;0658275648;Dorpsstraat 66;Utrecht;3511AA;2024-09-27;-50;WAAR;;
Lisa Jansen;lisa.jansen@example.com;0661329507;Dorpsstraat 120;Rotterdam;3011AA;2024-11-24;650.04;WAAR;2025-02-27;
Jan Visser;jan.visser@example.com;0660876075;Hoofdstraat 182;Eindhoven;5611AA;2019-04-24;3483.74;ONWAAR;;
Emma Peters;emma.peters@example.com;0680755264;Hoofdstraat 105;Rotterdam;3011AA;2024-06-18;3407.62;ONWAAR;;
Noah de Vries;noah.de.vries@example.com;0670048295;Dorpsstraat 79;Utrecht;3511AA;2015-03-29;1401.73;ONWAAR;;
Mila de Vries;mila.de.vries@example.com;0667710890;Hoofdstraat 172;Rotterdam;3011AA;2015-06-11;4906.09;WAAR;;
Sanne Bakker;sanne.bakker@example.com;0658670884;Hoofdstraat 148;Amsterdam;1012AB;2020-10-05;3886.31;WAAR;2026-09-29;
Daan Bakker;daan.bakker@example.com;0669182783;Kerkstraat 133;Rotterdam;3011AA;2015-12-05;559.85;WAAR;;
Tom de Vries;tom.de.vries@example.com;0681787853;Hoofdstraat 39;Tilburg;5011AA;2020-11-11;2032.26;WAAR;;
Mila Meijer;mila.meijer@example.com;0629433324;Dorpsstraat 89;Utrecht;3511AA;2022-12-12;3342.56;ONWAAR;2026-11-18;
Noah Smit;noah.smit@example.com;0638210148;Dorpsstraat 162;Tilburg;5011AA;2019-08-06;3035.79;WAAR;2023-04-23;
Lisa Jansen;lisa.jansen@example.com;0646158297;Dorpsstraat 177;Rotterdam;3011AA;2021-09-05;2715.21;WAAR;;
Noah de Vries;noah.de.vries@example.com;0639006529;Kerkstraat 199;Tilburg;5011AA;2017-02-04;3916.94;WAAR;2024-06-14;
Emma Smit;emma.smit@example.com;0690725724;Hoofdstraat 133;Rotterdam;3011AA;2024-04-23;4069.15;WAAR;2023-09-23;
Piet Vos;piet.vos@example.com;0645433908;Kerkstraat 123;Eindhoven;5611AA;2018-10-04;410.24;WAAR;2024-01-14;
Piet Bos;piet.bos@example.com;0671988738;Dorpsstraat 155;Groningen;9711AA;2017-04-17;4566.48;ONWAAR;2025-07-11;
Lisa Peters;lisa.peters@example.com;0622378487;Hoofdstraat 79;Utrecht;3511AA;2023-07-04;2903.46;WAAR;2026-03-04;
Noah Smit;noah.smit@example.com;0638699835;Dorpsstraat 171;Utrecht;3511AA;2020-11-09;3413.05;ONWAAR;2025-09-10;
Noah de Vries;noah.de.vries@example.com;0623208387;Hoofdstraat 48;Utrecht;3511AA;2016-01-12;1874.61;ONWAAR;2025-04-18;
Klaas Bos;klaas.bos@example.com;0655399161;Kerkstraat 40;Groningen;9711AA;2017-01-25;308.92;ONWAAR;;
Daan Peters;daan.peters@example.com;0628833831;Hoofdstraat 94;Eindhoven;9999ZZ;2024-08-06;833.36;WAAR;;
Jan Bakker;jan.bakker@example.com;0649753570;Kerkstraat 193;Eindhoven;5611AA;2022-01-20;3547.14;ONWAAR;2023-09-10;
Klaas Mulder;klaas.mulder@example.com;0662991353;Hoofdstraat 173;Eindhoven;5611AA;2022-09-28;4212.82;WAAR;;
Tom Peters;tom.peters@example.com;0660040586;Hoofdstraat 136;Groningen;9711AA;2020-12-16;2965.13;WAAR;2025-09-20;
Klaas Vos;klaas.vos@example.com;0645323156;Kerkstraat 108;Tilburg;5011AA;2021-04-24;3280.3;WAAR;2023-08-26;
Mila Bakker;mila.bakker@example.com;0646222274;Dorpsstraat 144;Utrecht;3511AA;2016-09-08;1956.31;ONWAAR;;
Mila Peters;mila.peters@example.com;0611945926;Dorpsstraat 184;Rotterdam;3011AA;2018-01-20;2863.86;WAAR;;
Emma Vos;emma.vos@example.com;0624796769;Dorpsstraat 16;Amsterdam;1012AB;2019-10-23;1819.63;ONWAAR;2026-08-12;
Jan Smit;jan.smit@example.com;0666020050;Hoofdstraat 140;Groningen;9711AA;2015-10-27;4160.59;WAAR;2025-02-17;
Noah Mulder;noah.mulder@example.com;0643264414;Dorpsstraat 43;Rotterdam;3011AA;2016-04-29;1822.16;WAAR;;
Jan Meijer;jan.meijer@example.com;0629590027;Dorpsstraat 26;Amsterdam;1012AB;2024-07-08;4909.71;WAAR;;
Tom Meijer;tom.meijer@example.com;0662116693;Dorpsstraat 178;Groningen;9711AA;2017-10-25;2517.03;WAAR;;
Emma Bos;emma.bos@example.com;0666939055;Dorpsstraat 129;Groningen;9711AA;2016-02-04;1414.43;ONWAAR;;
Daan Peters;daan.peters@example.com;0658517703;Hoofdstraat 74;Tilburg;5011AA;2018-12-21;4944.06;WAAR;;
Lisa Jansen;lisa.jansen@example.com;0661329507;Dorpsstraat 120;Rotterdam;3011AA;2024-11-24;650.04;WAAR;2025-02-27;
Tom Peters;tom.peters@example.com;0688809533;Hoofdstraat 86;Groningen;9711AA;2021-08-04;703.21;WAAR;;
Klaas Bakker;klaas.bakker@example.com;0684198288;Hoofdstraat 156;Eindhoven;5611AA;2021-05-29;1694.26;ONWAAR;;
Piet Jansen;piet.jansen@example.com;0688439334;Kerkstraat 181;Eindhoven;5611AA;2020-03-08;711.77;ONWAAR;2023-06-02;
Jan Jansen;jan.jansen@example.com;0664934745;Dorpsstraat 136;Eindhoven;5611AA;2023-12-28;4970.71;ONWAAR;;
Sanne Peters;sanne.peters@example.com;0638698375;Hoofdstraat 151;Groningen;9711AA;2017-07-12;3360.63;;2026-08-12;
Emma Jansen;emma.jansen@example.com;0696176137;Hoofdstraat 50;Rotterdam;3011AA;2015-12-31;1180.56;;;
Klaas Bos;klaas.bos@example.com;0669821964;Kerkstraat 105;Amsterdam;1012AB;2023-10-02;2775.14;ONWAAR;;
Emma Smit;emma.smit@example.com;0671824625;Kerkstraat 74;Tilburg;5011AA;2020-11-08;986.65;ONWAAR;;
Daan Vos;daan.vos@example.com;0684859447;Kerkstraat 113;Rotterdam;3011AA;2022-11-30;2714.73;ONWAAR;2024-11-12;
